ptime,start_code,end_code,spec_datetime,spec_type
2021-08-15 19:21:17.310000,202C001,1400011,2021-08-15 12:32:00,0
2021-08-15 19:21:17.310000,202C001,1400011,2021-08-15 12:32:00,0
2021-08-16 09:00:32.310000,1420051,1040251,2021-08-16 06:30:00,0
2021-09-08 06:05:22.830000,1040361,6008011,2021-09-08 00:15:00,0
2021-09-16 09:24:46.800000,1040126,1040191,2021-09-16 08:42:00,0
2021-09-16 09:24:46.800000,1040126,1040191,2021-09-16 08:42:00,0
2021-09-16 21:53:45.030000,1040361,1410011,2021-09-16 20:58:00,0
2021-09-16 21:55:45.030000,1040361,1410011,2021-09-16 21:00:00,0
2021-09-22 12:38:32.670000,1800091,6008016,2021-09-22 11:08:00,0
2021-09-22 12:38:32.670000,1800091,6008016,2021-09-22 11:08:00,0
2021-09-29 00:58:44.310000,9039006,1040011,2021-09-28 21:21:00,0
2021-09-29 00:58:44.310000,9039006,1040011,2021-09-28 21:21:00,0
2021-10-01 01:14:54.690000,1014006,1040241,2021-09-30 21:15:00,0
2021-10-01 01:14:54.690000,1014006,1040241,2021-09-30 21:15:00,0
2021-10-10 22:06:47.130000,1810111,1800001,2021-10-10 19:25:00,0
2021-10-10 22:06:47.130000,1810111,1800001,2021-10-10 19:25:00,0
2021-10-10 22:06:47.130000,1810111,1800001,2021-10-10 19:25:00,0
2021-10-16 08:57:59.910000,1040126,1800081,2021-10-16 07:16:00,0
2021-10-16 09:00:59.910000,1040126,1800081,2021-10-16 07:19:00,0
2021-10-16 09:00:59.910000,1040126,1800081,2021-10-16 07:19:00,0
2021-10-30 12:43:29.940000,6016011,1440051,2021-10-30 09:59:00,0
2021-10-30 12:43:29.940000,6016011,1440051,2021-10-30 09:59:00,0
2021-10-30 20:21:51.630000,1810036,1800001,2021-10-30 19:01:00,0
2021-11-06 20:32:51.630000,1810036,1800001,2021-11-06 19:12:00,0
2021-11-14 06:46:27.120000,1040161,204B026,2021-11-14 05:36:00,0
2021-11-14 06:46:27.120000,1040161,204B026,2021-11-14 05:36:00,0
2021-11-26 02:54:36.870000,1430021,1040416,2021-11-25 23:46:00,0
2021-11-26 02:54:36.870000,1430021,1040416,2021-11-25 23:46:00,0
2021-11-26 02:54:36.870000,1430021,1040416,2021-11-25 23:46:00,0
2021-11-26 02:54:36.870000,1430021,1040416,2021-11-25 23:46:00,0
2021-12-09 19:18:33.300000,1412006,1410006,2021-12-09 17:39:00,0
2021-12-09 19:18:33.300000,1412006,1410006,2021-12-09 17:39:00,0
2021-12-12 22:47:36.960000,1040096,1040191,2021-12-12 21:36:00,0
